,date,user_loc,message,full_name,country,country_code,geo_code
307,2020-01-12 19:24:34,Kirkcaldy,@Sharonwifey @NeilFindlay_MSP If all that’s offered in #indyref2 is swapping the union flag for a saltire and nothi… https://t.co/8zTO4AyqOd,"Kirkcaldy, Scotland",United Kingdom,GB,[-3.166795 56.117733]
308,2020-01-12 19:36:39,"Somewhere Far, Far, Far Away!","@almostoneword @DeltaNC @daisychain241 @SkyNews @jeremycorbyn I'm not saying dont have the vote, I just dont buy in… https://t.co/hQ68hYDHnt","Gosport, England",United Kingdom,GB,[-1.149198 50.808838]
309,2020-01-12 19:38:05,"Glasgow, Scotland",#ScottishIndependence 🏴󠁧󠁢󠁳󠁣󠁴󠁿 supporters march through rainy #Glasgow streets | UK News | Sky News https://t.co/uKtEVBzUE6,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
310,2020-01-12 20:11:19,"Accrington, England","Just pulled this of @Iromg feed about Scottish independence.

Yes Callum, you have a government and a population fu… https://t.co/fUsq44Evi8","Benidorm, Spain",Spain,ES,[-0.126504 38.555706]
311,2020-01-12 20:16:05,"Scotland, Europe","""Festival of Brexit"" set for 2022.

Scotland'll have binned yous off by then. #indyref2","Dundee, Scotland",United Kingdom,GB,[-2.955045 56.476952]
312,2020-01-12 20:44:01,"Chapelhall, Scotland","@gafordyce @EU_Remain_2017 Then we won’t have indyref2, it will be a straight forward #DissolveTheUKUnion Election.","Chapelhall, Scotland",United Kingdom,GB,[-3.948217 55.842817]
313,2020-01-12 20:51:32,SCOTLAND,@FunSoph What better way to celebrate the year the Union is dissolved #indyref2,"East Calder, Scotland",United Kingdom,GB,[-3.457664 55.893008]
314,2020-01-12 20:55:44,"Brussels, Truro, Barcelona.","100,000 march for Scottish independence in Glasgow on Saturday. 

@AUOBALBA @AUOBCymru https://t.co/VmaMBVhY14","Pisa, Tuscany",Italy,IT,[10.362974 43.666178]
315,2020-01-12 21:41:44,World,@Rupertsmum1953 We shall not forget that nor Cambridge Analytica nor The lies WM has brought over to the North of t… https://t.co/yIYKSD6L7i,"Ålesund, Norway",Norway,NO,[ 6.311952 62.464714]
316,2020-01-12 21:45:06,,"I do not care what you say mr greene, or the SNP for that matter. The UK is still a democracy, the union is just th… https://t.co/ww3fZSFUJb","East Calder, Scotland",United Kingdom,GB,[-3.457664 55.893008]
317,2020-01-12 21:51:34,South Bristol. UK,"BBC News - Alister Jack: SNP victory 'will not be mandate for indyref2'
https://t.co/fTZFxLZjSb","Bristol, England",United Kingdom,GB,[-2.58539  51.457877]
318,2020-01-12 22:10:26,"Glasgow, Scotland","Alister 'Union' Jack effectively said-
1. There is no mandate for #indyref2 
2. Even outright majority for @theSNP… https://t.co/D9z4KTOlqH","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
319,2020-01-12 22:23:05,"Glasgow, Scotland","Forget any talk of ""union""

This is a blatant admission that Scotland has been subsumed &amp; subjugated

The good news… https://t.co/W6d08dexKu","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
320,2020-01-12 23:16:42,"Aberystwyth, Cymru",First Scottish independence one I ever went to. Would happily come to another! https://t.co/3jotiv4klB,"Wales, United Kingdom",United Kingdom,GB,[-4.001617 52.404436]
321,2020-01-12 23:23:26,,A double-hard sell? Since neither Brexit nor Britishness are held in great affection by a majority of Scots. (A mod… https://t.co/AHgknjNJZ8,"Scotland, United Kingdom",United Kingdom,GB,[-4.200441 57.739454]
322,2020-01-12 23:40:41,Scotland,Think this might be my most flowery take down ever 🤣 #indyref2 https://t.co/HJ4biZuHgU,"Coatbridge, Scotland",United Kingdom,GB,[-4.031101 55.859916]
323,2020-01-13 00:22:07,Edinbugh,"Aye that'll be shinning fanny baws Scotland will be free
Alister Jack: SNP victory 'will not be mandate for indyref… https://t.co/qm6gDIT35F","Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
324,2020-01-13 01:07:36,"Glasgow, Scotland",You love to see it! #indyref2 #ItsTime https://t.co/T1fVChL8Lo,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
325,2020-01-13 01:22:01,"Kingdom of Fife, Scotland",This! #Indyref2 #FreeTheUnicorn #DissolveTheUnion 🏴󠁧󠁢󠁳󠁣󠁴󠁿 https://t.co/uizwxIKz0k,"Anstruther, Scotland",United Kingdom,GB,[-2.696332 56.223206]
326,2020-01-13 01:28:53,,"If you want some some mild amusement, followed very quickly by a  massive panic attack about one possible future fo… https://t.co/hDTlhLTIdX","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
327,2020-01-13 01:31:01,,"@grahamjf @rosscolquhoun @deemac1960 If you want some some mild amusement, followed quickly by a  massive panic att… https://t.co/xUUGOgkqqT","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
328,2020-01-13 02:29:00,England,"@moaningminnie6 @Iromg The Scots live in a NON Sovereign State of which only 25% are in favour of a SECOND ""Once in… https://t.co/5U3ioqzWnA","Warwick, England",United Kingdom,GB,[-1.574246 52.280296]
329,2020-01-13 02:33:36,,I am no big fan of Nicola but this is literal abuse. #indyref2 https://t.co/7CyPcLEbWV,"Dedridge, Scotland",United Kingdom,GB,[-3.507624 55.879685]
330,2020-01-13 07:17:43,Edinburgh,@MaleHumanPerso1 @minimojo00 @TheScotsman Your no vote has been respected but you must stop disrespecting the votes… https://t.co/uDFBcoZGhP,"Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
331,2020-01-13 08:54:20,"Birmingham, Ayr or Edinburgh",Alister Jack claims indyref2 won't happen in Nicola Sturgeon's lifetime https://t.co/bzX0DmZepX,"Birmingham, England",United Kingdom,GB,[-1.89064  52.493966]
332,2020-01-13 08:55:15,"Birmingham, Ayr or Edinburgh",Defiant AUOB marchers 'show indyref2 objections are untenable' https://t.co/xmaHkCXK44,"Birmingham, England",United Kingdom,GB,[-1.89064  52.493966]
333,2020-01-13 08:58:40,"Pimlico Village, London",A very good analysis if the routes to #indyref2020 #indyref2 and Scotland’s independence. https://t.co/UYL6BsNBFb,"London, England",United Kingdom,GB,[-0.148936 51.500092]
334,2020-01-13 09:40:54,"Scotland, EU",@jhalley73 @esta_x4 @duncan_on @AUOBALBA I think I won’t be the only one to assess what and who you are by what you… https://t.co/XF421cWCGq,"Stewarton, Scotland",United Kingdom,GB,[-4.515029 55.681607]
335,2020-01-13 09:42:47,,@PaulWheelhouse All your accusations are correct but that still doesn’t mean he can’t put the mockers on indyref2,"Wan Chai District, Hong Kong",Hong Kong,HK,[114.185178  22.271674]
336,2020-01-13 10:00:26,Lenzie,@Macnessie No doubt this is much more important to Ian Murray than Scottish independence.,"Kirkintilloch, Scotland",United Kingdom,GB,[-4.145042 55.931524]
337,2020-01-13 10:08:31,"Glasgow, Scotland","@Feorlean @joannaccherry @ScotSecofState Here is the thing... 

The right of the people of Scotland to vote has not… https://t.co/SlZAcGc7kY","Cambuslang, Scotland",United Kingdom,GB,[-4.172646 55.820916]
